,Address,City,Status,State,Zip Code,lat,lng
79,1616 Edgington,Eldora,A,IA,50627,42.361256,-93.10373279999999
80,1745 Madison Ave,Council Bluffs,A,IA,51503,41.2445314,-95.82565919999999
81,1010 60th St,West Des Moines,A,IA,50266,41.5849176,-93.79137709999999
82,3221 SE 14th St,Des Moines,A,IA,50320,41.55467489999999,-93.59471649999999
83,4064 E 53rd St,Davenport,A,IA,52807,41.5774194,-90.5138212
84,2310 Hubbell Ave,Des Moines,A,IA,50317,41.6046145,-93.5740922
85,757 W Broadway,Council Bluffs,A,IA,51501,41.2607677,-95.85557949999999
86,512 E Oskaloosa,Pella,A,IA,50219,41.3971466,-92.8990683
87,2126 Kimball Ave,Waterloo,A,IA,50701,42.470388,-92.3578
88,1511 2nd Ave North,Fort Dodge,A,IA,50501,42.5077102,-94.17731099999999
89,5050 Edgewood Rd,Cedar Rapids,A,IA,52411,42.0293183,-91.6983628
90,555 S 51st St,West Des Moines,A,IA,50265,41.559991,-93.7746221
91,400 Locust St,Dubuque,A,IA,52001,42.4866564,-90.6629268
92,1808 23rd St,Harlan,A,IA,51537,41.6507178,-95.3388059
93,1311 4 Street SW,Waverly,A,IA,50677,42.7121175,-92.4746337
94,875 4th St SW,Mason City,A,IA,50401,43.14763629999999,-93.2143007
95,1004 W Madison St,Washington,A,IA,52353,41.2968646,-91.7045108
96,1200 S 16TH ST,Clarinda,A,IA,51632,40.7267825,-95.03572059999999
97,300 10th St,Corning,A,IA,51632,40.9921393,-94.732563
98,1604 Bent,Bedford,A,IA,50833,40.676239,-94.7265806
99,402 S Hayes St,Mount Ayr,A,IA,50854,40.7117374,-94.2327347
100,1951 S Main Ave,Sioux Center,A,IA,51250,43.0562585,-96.1776412
101,1989 Park St,Sheldon,A,IA,51201,43.1866168,-95.83159189999999
102,"522 Mulberry, Suite A",Muscatine,A,IA,52761,41.42650500000001,-91.04456599999999
103,8701 Douglas,Urbandale,A,IA,50322,41.63002669999999,-93.7381138
104,1005 E Hickman Rd,Waukee,A,IA,50263,41.6173274,-93.8542374
105,2510 SW State St,Ankeny,A,IA,50023,41.7043247,-93.6234133
106,2611 Pierce St,Sioux City,A,IA,51104,42.517453,-96.40548969999999
107,1004 W 1st St,Leon,A,IA,50144,40.7402406,-93.7579032
108,"103, E Jackson St",Corydon,A,IA,50060,40.7588857,-93.3175516
109,2004 8th St,Coralville,A,IA,52241,41.6823506,-91.5919821
110,"106, W Washington St",Jefferson,A,IA,50129,42.0188853,-94.3753837
111,923 N 1st St,Winterset,A,IA,50273,41.3425705,-94.01224429999999
112,420 Court Ave,Des Moines,A,IA,50309,41.5845953,-93.622176
113,720 East Main,Lamoni,A,IA,50140,40.6244152,-93.9245002
114,1307 N Second,Clinton,A,IA,52732,41.8588431,-90.18418249999999
115,2302 West First St,Cedar Falls,A,IA,50613,42.5389188,-92.47293340000002
116,205 Franklin St,Waterloo,A,IA,50703,42.5041101,-92.3370506
117,1825 E San Marnan,Waterloo,A,IA,50702,42.4675076,-92.32177709999999
118,1655 W Kimberly Rd,Davenport,A,IA,52806,41.559293,-90.599918
119,1777 Division St,Davenport,A,IA,52804,41.5377498,-90.6002139
120,2711 Mt Vernon Rd,Cedar Rapids,A,IA,52403,41.9760998,-91.6272795
121,4116 Center Pointe Rd,Cedar Rapids,A,IA,52402,42.0208845,-91.6644306
122,2425 Muscatine Ave,Iowa City,A,IA,52240,41.649089,-91.4998394
123,545 W Washington St,Council Bluffs,A,IA,51503,41.2628436,-95.8510809
124,3419 16th Ave SW,Cedar Rapids,A,IA,52404,41.9630674,-91.7169717
125,"3499, 7th Ave",Marion,A,IA,52302,42.0359604,-91.57432519999999
126,104 E First St,Ankeny,A,IA,50023,41.7323423,-93.5995426
127,3151 SE 14th St,Des Moines,A,IA,50320,41.55576190000001,-93.59610099999999
128,215 E Euclid Ave,Des Moines,A,IA,50313,41.6269749,-93.61559190000001
129,2029 5th Ave South,Fort Dodge,A,IA,50501,42.5006495,-94.17001409999999
130,2303 Merle Hay Rd,Des Moines,A,IA,50310,41.6158632,-93.69723680000001
131,14201 Hickman Rd,Urbandale,A,IA,50323,41.6157514,-93.81504989999999
132,207 E Locust St,Bloomfield,A,IA,52537,40.7533498,-92.412766
133,28 E Howard,Colfax,A,IA,50054,41.6782414,-93.2446528
134,8 2nd St NW,Britt,A,IA,50423,43.0988371,-93.8019643
135,1026 Main,Grinnell,A,IA,50112,41.8780025,-93.097702
136,325 Central Ave W,Clarion,A,IA,50525,42.7322491,-93.735813
137,201 S Front St,Montezuma,A,IA,50171,41.5836833,-92.52683069999999
