Zip Code,Population,Poverty Count,Total Poverty Rate (%)
52072,241.0,25.0,10.37344398340249
52073,1289.0,115.0,8.921644685802947
52074,377.0,35.0,9.283819628647215
52076,2470.0,254.0,10.2834008097166
52077,415.0,28.0,6.746987951807229
52078,921.0,27.0,2.9315960912052117
52079,808.0,37.0,4.579207920792079
52101,13910.0,938.0,6.743350107836089
52132,1798.0,170.0,9.454949944382648
52133,615.0,17.0,2.7642276422764227
52134,358.0,67.0,18.71508379888268
52135,798.0,79.0,9.899749373433584
52136,5905.0,635.0,10.753598645215918
52140,585.0,60.0,10.256410256410257
52141,1614.0,228.0,14.12639405204461
52142,1640.0,273.0,16.646341463414632
52144,1403.0,154.0,10.97647897362794
52146,1037.0,72.0,6.943105110896818
52147,1245.0,198.0,15.903614457831326
52151,1953.0,151.0,7.731694828469022
52154,810.0,39.0,4.814814814814815
52155,1128.0,169.0,14.9822695035461
52156,723.0,145.0,20.055325034578146
52157,1792.0,161.0,8.984375
52158,262.0,36.0,13.740458015267176
52159,2448.0,203.0,8.292483660130719
52160,1239.0,92.0,7.425343018563358
52161,1550.0,119.0,7.67741935483871
52162,3284.0,647.0,19.701583434835566
52163,270.0,15.0,5.555555555555555
52164,249.0,26.0,10.441767068273093
52165,772.0,45.0,5.829015544041451
52166,126.0,12.0,9.523809523809524
52168,254.0,23.0,9.05511811023622
52169,433.0,87.0,20.092378752886837
52170,530.0,50.0,9.433962264150944
52171,960.0,66.0,6.875
52172,5607.0,557.0,9.934011057606563
52175,3679.0,483.0,13.128567545528677
52201,1384.0,113.0,8.164739884393063
52202,1027.0,21.0,2.044790652385589
52203,1875.0,50.0,2.6666666666666665
52205,8712.0,952.0,10.927456382001836
52206,2498.0,49.0,1.9615692554043234
52207,427.0,34.0,7.962529274004684
52208,2967.0,500.0,16.852039096730703
52209,1264.0,168.0,13.291139240506329
52210,829.0,78.0,9.408926417370326
52211,2483.0,239.0,9.625453080950463
52212,187.0,9.0,4.81283422459893
52213,4139.0,176.0,4.252234839333172
52214,3347.0,266.0,7.94741559605617
52215,727.0,38.0,5.226960110041265
52216,1526.0,116.0,7.601572739187418
52217,432.0,24.0,5.555555555555555
52218,1813.0,165.0,9.100937672366245
52219,156.0,8.0,5.128205128205129
52220,304.0,0.0,0.0
52221,229.0,5.0,2.183406113537118
52222,662.0,34.0,5.13595166163142
52223,1608.0,112.0,6.965174129353234
52224,2083.0,206.0,9.889582333173308
52225,311.0,19.0,6.109324758842444
52227,3035.0,71.0,2.3393739703459637
52228,3079.0,60.0,1.948684637869438
52229,818.0,30.0,3.667481662591687
52231,254.0,8.0,3.1496062992125986
52232,181.0,3.0,1.6574585635359116
52233,7079.0,823.0,11.625935866647831
52235,784.0,203.0,25.892857142857142
52236,669.0,62.0,9.267563527653214
52237,1346.0,181.0,13.447251114413076
52240,33679.0,9462.0,28.094658392470084
52241,20069.0,2331.0,11.614928496686431
52242,1700.0,0.0,0.0
52245,24000.0,3915.0,16.3125
52246,22374.0,5629.0,25.15866630910879
52247,5943.0,463.0,7.79067810869931
52248,1858.0,324.0,17.43810548977395
52249,1085.0,83.0,7.649769585253456
52251,600.0,29.0,4.833333333333333
52253,3030.0,228.0,7.524752475247524
52254,820.0,231.0,28.170731707317074
52255,1202.0,88.0,7.321131447587354
52257,270.0,2.0,0.7407407407407407
52301,3604.0,429.0,11.903440621531631
52302,38691.0,2505.0,6.4743738853997055
52305,573.0,41.0,7.155322862129145
52306,1787.0,124.0,6.9390039171796305
52307,88.0,0.0,0.0
52308,179.0,30.0,16.75977653631285
52309,372.0,46.0,12.365591397849462
52310,6445.0,469.0,7.2769588828549265
52312,107.0,31.0,28.97196261682243
52313,433.0,46.0,10.623556581986143
52314,6507.0,283.0,4.3491624404487474
52315,1098.0,16.0,1.4571948998178506
52316,1668.0,220.0,13.189448441247002
52317,16635.0,1288.0,7.7427111511872555
52318,870.0,89.0,10.229885057471265
52320,1174.0,178.0,15.1618398637138
52321,548.0,48.0,8.75912408759124
52322,2785.0,100.0,3.5906642728904847
52323,1083.0,146.0,13.48107109879963
52324,2068.0,85.0,4.110251450676983
52325,863.0,17.0,1.969872537659328
52326,500.0,46.0,9.2
52327,3364.0,241.0,7.164090368608799
52328,2906.0,81.0,2.7873365450791465
52329,805.0,28.0,3.4782608695652173
52330,871.0,103.0,11.82548794489093
52332,2159.0,285.0,13.200555812876331
52333,6476.0,193.0,2.9802347127856703
52334,199.0,6.0,3.0150753768844223
52335,560.0,19.0,3.392857142857143
52336,2143.0,85.0,3.9664022398506766
52337,814.0,99.0,12.162162162162161
52338,3445.0,12.0,0.3483309143686502
52339,4525.0,761.0,16.81767955801105
52340,2399.0,208.0,8.670279283034597
52341,1031.0,37.0,3.588748787584869
52342,3107.0,456.0,14.67653685226907
52345,1435.0,117.0,8.153310104529616
52346,894.0,95.0,10.626398210290828
52347,1659.0,110.0,6.630500301386378
52348,67.0,5.0,7.462686567164179
52349,7433.0,875.0,11.771828333109108
52351,1563.0,66.0,4.222648752399232
52352,1679.0,165.0,9.827278141751043
52353,8957.0,903.0,10.081500502400358
52354,390.0,8.0,2.051282051282051
52355,331.0,21.0,6.3444108761329305
52356,2638.0,75.0,2.843062926459439
52358,3834.0,306.0,7.981220657276995
52359,346.0,11.0,3.179190751445087
52361,4593.0,457.0,9.949923797082517
52362,764.0,72.0,9.424083769633508
52401,2103.0,624.0,29.671897289586305
52402,40902.0,3695.0,9.033788078822552
52403,23197.0,2244.0,9.673664698021296
52404,38431.0,6493.0,16.89521480055164
52405,24664.0,2574.0,10.436263379824846
52411,7094.0,141.0,1.9875951508316887
52501,29898.0,5822.0,19.472874439761856
52530,913.0,67.0,7.338444687842278
52531,6007.0,732.0,12.18578325287165
52533,1558.0,222.0,14.249037227214377
52534,266.0,76.0,28.571428571428573
52535,930.0,134.0,14.408602150537634
52536,1091.0,133.0,12.190650779101741
52537,6904.0,1108.0,16.0486674391657
52540,1405.0,171.0,12.170818505338078
52542,516.0,65.0,12.5968992248062
52543,331.0,29.0,8.761329305135952
52544,7546.0,1064.0,14.100185528756958
52548,102.0,25.0,24.50980392156863
52549,567.0,113.0,19.929453262786595
52550,410.0,60.0,14.634146341463415
52551,496.0,59.0,11.89516129032258
52552,953.0,97.0,10.178384050367262
52553,2031.0,217.0,10.68439192516002
52554,1354.0,161.0,11.89069423929099
52555,316.0,25.0,7.9113924050632916
52556,13279.0,1729.0,13.020558777016342
52557,86.0,0.0,0.0
52560,511.0,160.0,31.31115459882583
52561,973.0,125.0,12.846865364850977
52563,1615.0,323.0,20.0
52565,2006.0,294.0,14.656031904287138
52566,177.0,5.0,2.824858757062147
52567,707.0,85.0,12.022630834512023
52569,611.0,62.0,10.147299509001636
52570,969.0,130.0,13.415892672858616
52571,1580.0,78.0,4.936708860759493
52572,1209.0,391.0,32.34077750206782
52573,128.0,0.0,0.0
52574,836.0,117.0,13.995215311004785
52576,487.0,35.0,7.186858316221766
52577,15020.0,2428.0,16.165113182423436
52580,433.0,25.0,5.773672055427252
52581,347.0,10.0,2.881844380403458
52583,360.0,25.0,6.944444444444445
52584,446.0,141.0,31.614349775784753
52585,980.0,58.0,5.918367346938775
52586,370.0,50.0,13.513513513513514
52588,30.0,0.0,0.0
52590,1387.0,245.0,17.664023071377073
52591,3177.0,376.0,11.835064526282657
52593,104.0,10.0,9.615384615384615
52594,359.0,64.0,17.827298050139277
52595,506.0,77.0,15.217391304347826
52601,29590.0,5102.0,17.24231159175397
52619,477.0,65.0,13.626834381551364
52620,838.0,215.0,25.656324582338904
52621,783.0,66.0,8.42911877394636
52623,2057.0,82.0,3.9863879436071947
52624,235.0,42.0,17.872340425531913
52625,2541.0,234.0,9.208972845336481
52626,1458.0,158.0,10.83676268861454
52627,13139.0,2247.0,17.101758124667022
52630,554.0,66.0,11.913357400722022
52632,13040.0,2736.0,20.98159509202454
52635,825.0,260.0,31.515151515151516
52637,2274.0,132.0,5.804749340369393
52638,519.0,34.0,6.551059730250482
52639,2000.0,230.0,11.5
52640,1484.0,123.0,8.288409703504042
52641,12234.0,1667.0,13.625960438123263
52644,316.0,27.0,8.544303797468354
52645,3091.0,467.0,15.108379165318667
52646,346.0,37.0,10.693641618497109
52647,200.0,18.0,9.0
52649,805.0,93.0,11.5527950310559
52650,769.0,6.0,0.7802340702210663
52651,660.0,73.0,11.06060606060606
52653,3543.0,498.0,14.055884843353091
52654,1693.0,160.0,9.450679267572356
52655,4804.0,644.0,13.40549542048293
52656,2542.0,149.0,5.861526357199056
52657,54.0,3.0,5.555555555555555
52658,867.0,45.0,5.190311418685121
52659,1487.0,171.0,11.499663752521856
52660,137.0,0.0,0.0
52701,88.0,0.0,0.0
52720,1024.0,17.0,1.66015625
52721,659.0,49.0,7.435508345978755
52722,36110.0,1961.0,5.430628634727222
52726,5199.0,195.0,3.750721292556261
52727,392.0,10.0,2.5510204081632653
52728,1069.0,74.0,6.922357343311506
52729,844.0,58.0,6.872037914691943
52730,4785.0,855.0,17.86833855799373
52731,827.0,65.0,7.8597339782345825
52732,27958.0,4473.0,15.99899849774662
52737,403.0,37.0,9.181141439205955
52738,3762.0,452.0,12.014885699096226
52739,687.0,131.0,19.068413391557495
52742,7972.0,654.0,8.203712995484194
52745,606.0,32.0,5.2805280528052805
52746,846.0,16.0,1.8912529550827424
52747,2223.0,133.0,5.982905982905983
52748,9899.0,472.0,4.768158399838367
52749,1249.0,44.0,3.522818254603683
52750,566.0,23.0,4.063604240282685
52751,943.0,20.0,2.1208907741251326
52752,494.0,61.0,12.348178137651821
52753,5395.0,260.0,4.819277108433735
52754,1330.0,185.0,13.909774436090226
52755,1937.0,145.0,7.485802787816211
52756,2060.0,30.0,1.4563106796116505
52757,146.0,24.0,16.438356164383563
52758,193.0,25.0,12.953367875647668
52760,312.0,14.0,4.487179487179487
52761,30479.0,4009.0,13.153318678434331
52765,377.0,19.0,5.039787798408488
52766,924.0,31.0,3.354978354978355
52767,189.0,0.0,0.0
52768,1430.0,72.0,5.034965034965035
52769,681.0,95.0,13.95007342143906
52772,4748.0,361.0,7.603201347935973
52773,2083.0,161.0,7.729236677868459
52774,101.0,6.0,5.9405940594059405
52776,4553.0,530.0,11.6406764770481
52777,1298.0,115.0,8.859784283513097
52778,4207.0,425.0,10.102210601378655
52801,945.0,148.0,15.661375661375661
52802,10436.0,2548.0,24.415484860099657
52803,22858.0,4598.0,20.115495668912416
52804,27218.0,3307.0,12.150047762510104
52806,28268.0,4722.0,16.70440073581435
52807,14770.0,1551.0,10.501015572105619
50001,734.0,22.0,2.997275204359673
50002,1442.0,156.0,10.818307905686547
50003,7109.0,485.0,6.822337881558588
50005,861.0,23.0,2.671312427409988
50006,1556.0,158.0,10.154241645244216
50007,598.0,7.0,1.1705685618729098
50008,945.0,171.0,18.095238095238095
50009,17561.0,1119.0,6.372074483229884
50010,31870.0,6878.0,21.581424537182304
50011,1554.0,0.0,0.0
50012,4527.0,7.0,0.15462778882261985
50014,28682.0,9765.0,34.045742974687954
50020,1354.0,154.0,11.37370753323486
50021,24936.0,2118.0,8.493743984600577
50022,8171.0,1087.0,13.303145269856811
50023,30700.0,2282.0,7.4332247557003255
50025,3151.0,276.0,8.75912408759124
50026,673.0,151.0,22.436849925705793
50027,353.0,102.0,28.89518413597734
50028,1471.0,81.0,5.506458191706322
50029,673.0,122.0,18.12778603268945
50032,32.0,17.0,53.125
50033,28.0,4.0,14.285714285714286
50034,393.0,8.0,2.035623409669211
50035,6103.0,336.0,5.505489103719483
50036,16239.0,1506.0,9.27397007204877
50038,105.0,42.0,40.0
50039,508.0,56.0,11.023622047244094
50041,70.0,0.0,0.0
50042,326.0,36.0,11.042944785276074
50044,1123.0,160.0,14.247551202137133
50046,1277.0,73.0,5.716523101018011
50047,5733.0,312.0,5.442176870748299
50048,762.0,101.0,13.254593175853019
50049,6703.0,785.0,11.711174101148739
50050,635.0,104.0,16.37795275590551
50051,404.0,30.0,7.425742574257426
50052,197.0,10.0,5.0761421319796955
50054,2987.0,287.0,9.608302644794108
50055,912.0,96.0,10.526315789473685
50056,1428.0,113.0,7.913165266106443
50057,353.0,0.0,0.0
50058,2004.0,232.0,11.57684630738523
50060,2328.0,310.0,13.316151202749142
50061,1679.0,6.0,0.357355568790947
50062,664.0,80.0,12.048192771084338
50063,2704.0,69.0,2.551775147928994
50064,100.0,19.0,19.0
50065,629.0,247.0,39.268680445151034
50066,367.0,67.0,18.256130790190735
50067,228.0,34.0,14.912280701754385
50068,280.0,30.0,10.714285714285714
50069,1258.0,71.0,5.643879173290938
50070,1699.0,111.0,6.533254855797528
50071,836.0,54.0,6.45933014354067
50072,2780.0,175.0,6.294964028776978
50073,982.0,109.0,11.09979633401222
50074,404.0,50.0,12.376237623762377
50075,794.0,58.0,7.30478589420655
50076,1596.0,157.0,9.837092731829573
50078,133.0,14.0,10.526315789473685
50101,92.0,2.0,2.1739130434782608
50102,64.0,13.0,20.3125
50103,445.0,94.0,21.123595505617978
50104,124.0,8.0,6.451612903225806
50105,1290.0,135.0,10.465116279069768
50106,1186.0,123.0,10.370994940978077
50107,1186.0,252.0,21.247892074198987
