Zip Code,Population,Poverty Count,Total Poverty Rate (%)
50001,825.0,71.0,8.606060606060606
50002,1338.0,206.0,15.39611360239163
50003,6921.0,334.0,4.8258922121080765
50005,668.0,28.0,4.191616766467066
50006,1528.0,118.0,7.722513089005235
50007,619.0,24.0,3.877221324717286
50008,920.0,122.0,13.26086956521739
50009,16687.0,911.0,5.459339605681069
50010,29802.0,6329.0,21.236829742970272
50011,1913.0,0.0,0.0
50012,3699.0,4.0,0.10813733441470667
50014,28064.0,8913.0,31.7595496009122
50020,1554.0,134.0,8.622908622908623
50021,21778.0,1698.0,7.7968592157222885
50022,8028.0,890.0,11.086198305929248
50023,29494.0,1607.0,5.448565809995253
50025,3294.0,294.0,8.925318761384336
50026,638.0,187.0,29.310344827586206
50027,313.0,78.0,24.920127795527158
50028,1553.0,103.0,6.632324533161623
50029,737.0,104.0,14.111261872455902
50032,429.0,165.0,38.46153846153846
50033,33.0,3.0,9.090909090909092
50034,356.0,5.0,1.404494382022472
50035,5458.0,151.0,2.766581165262001
50036,16052.0,1526.0,9.506603538499876
50038,114.0,28.0,24.56140350877193
50039,463.0,62.0,13.390928725701944
50041,92.0,0.0,0.0
50042,342.0,54.0,15.789473684210526
50044,1123.0,96.0,8.54853072128228
50046,1395.0,65.0,4.659498207885305
50047,5447.0,394.0,7.233339452909859
50048,848.0,70.0,8.254716981132075
50049,6754.0,1166.0,17.263843648208468
50050,553.0,76.0,13.743218806509946
50051,391.0,4.0,1.0230179028132993
50052,245.0,20.0,8.16326530612245
50054,3371.0,389.0,11.539602491842183
50055,859.0,89.0,10.360884749708964
50056,1349.0,108.0,8.005930318754633
50057,281.0,0.0,0.0
50058,2042.0,203.0,9.941234084231146
50060,2304.0,205.0,8.897569444444445
50061,1676.0,3.0,0.17899761336515513
50062,640.0,111.0,17.34375
50063,2837.0,73.0,2.5731406415227354
50064,79.0,6.0,7.594936708860759
50065,522.0,142.0,27.203065134099617
50066,260.0,93.0,35.76923076923077
50067,321.0,37.0,11.526479750778817
50068,416.0,49.0,11.778846153846153
50069,1228.0,119.0,9.690553745928339
50070,1426.0,66.0,4.628330995792426
50071,869.0,63.0,7.249712313003452
50072,2807.0,214.0,7.623797648735304
50073,1029.0,83.0,8.066083576287658
50074,300.0,72.0,24.0
50075,918.0,32.0,3.485838779956427
50076,1402.0,150.0,10.699001426533524
50078,115.0,16.0,13.91304347826087
50101,88.0,3.0,3.409090909090909
50102,44.0,0.0,0.0
50103,373.0,49.0,13.136729222520108
50104,153.0,29.0,18.954248366013072
50105,1389.0,162.0,11.663066954643629
50106,939.0,72.0,7.667731629392971
50107,1152.0,312.0,27.083333333333332
50108,542.0,94.0,17.343173431734318
50109,2812.0,176.0,6.2588904694167855
50111,9939.0,248.0,2.4952208471677233
50112,11752.0,1444.0,12.287270251872021
50115,2670.0,315.0,11.797752808988765
50116,174.0,9.0,5.172413793103448
50117,205.0,3.0,1.4634146341463414
50118,970.0,52.0,5.360824742268041
50119,574.0,61.0,10.627177700348431
50120,291.0,25.0,8.59106529209622
50122,1648.0,35.0,2.1237864077669903
50123,791.0,74.0,9.355246523388116
50124,3662.0,291.0,7.946477334789733
50125,19543.0,1682.0,8.606662232001229
50126,6770.0,459.0,6.779911373707534
50127,0.0,0.0,
50128,362.0,20.0,5.524861878453039
50129,5128.0,573.0,11.173946957878314
50130,1517.0,99.0,6.526038233355306
50131,18263.0,1023.0,5.6014893500520175
50132,320.0,10.0,3.125
50133,515.0,51.0,9.902912621359222
50134,590.0,34.0,5.762711864406779
50135,1666.0,157.0,9.42376950780312
50136,406.0,31.0,7.635467980295567
50138,11830.0,1493.0,12.620456466610312
50139,1432.0,215.0,15.013966480446927
50140,3059.0,564.0,18.437397842432166
50141,640.0,35.0,5.46875
50142,957.0,18.0,1.8808777429467085
50143,635.0,48.0,7.559055118110236
50144,2696.0,404.0,14.985163204747774
50146,342.0,21.0,6.140350877192983
50147,496.0,93.0,18.75
50148,352.0,112.0,31.818181818181817
50149,870.0,168.0,19.310344827586206
50150,1113.0,101.0,9.074573225516621
50151,533.0,46.0,8.630393996247655
50153,897.0,28.0,3.121516164994426
50154,523.0,81.0,15.48757170172084
50155,274.0,27.0,9.854014598540147
50156,4242.0,362.0,8.533710513908535
50157,622.0,45.0,7.234726688102894
50158,31589.0,4125.0,13.05834309411504
50160,515.0,20.0,3.883495145631068
50161,2058.0,140.0,6.802721088435374
50162,1227.0,50.0,4.074979625101874
50163,824.0,103.0,12.5
50164,514.0,31.0,6.031128404669261
50165,74.0,5.0,6.756756756756757
50166,1606.0,68.0,4.2341220423412205
50167,588.0,18.0,3.061224489795918
50168,665.0,59.0,8.87218045112782
50169,3613.0,363.0,10.04705231109881
50170,2716.0,174.0,6.406480117820324
50171,2943.0,301.0,10.227658851512063
50173,842.0,83.0,9.85748218527316
50174,1250.0,192.0,15.36
50201,8139.0,633.0,7.777368227054921
50206,469.0,69.0,14.712153518123667
50207,2499.0,285.0,11.404561824729893
50208,20675.0,2884.0,13.949214026602176
50210,1531.0,47.0,3.069888961463096
50211,11849.0,371.0,3.131065912735252
50212,3515.0,222.0,6.315789473684211
