State,County,Population,Poverty Count,Total Poverty Rate (%)
 Iowa,Adair County,7543.0,631.0,8.365371867957046
 Iowa,Adams County,3937.0,423.0,10.744221488442976
 Iowa,Allamakee County,14152.0,1602.0,11.319954776710006
 Iowa,Appanoose County,12754.0,1770.0,13.877999059118707
 Iowa,Audubon County,5935.0,538.0,9.064869418702612
 Iowa,Benton County,25895.0,2218.0,8.565360108128983
 Iowa,Black Hawk County,131947.0,20919.0,15.8540929312527
 Iowa,Boone County,26326.0,2739.0,10.404163184684343
 Iowa,Bremer County,24481.0,1812.0,7.401658428985744
 Iowa,Buchanan County,20947.0,1860.0,8.879553157970115
 Iowa,Buena Vista County,20460.0,2337.0,11.422287390029325
 Iowa,Butler County,14966.0,1356.0,9.060537217693438
 Iowa,Calhoun County,9980.0,1379.0,13.817635270541082
 Iowa,Carroll County,20702.0,1941.0,9.375905709593276
 Iowa,Cass County,13694.0,1795.0,13.107930480502409
 Iowa,Cedar County,18434.0,1459.0,7.91472279483563
 Iowa,Cerro Gordo County,43707.0,5876.0,13.44407074381678
 Iowa,Cherokee County,11982.0,1100.0,9.180437322650643
 Iowa,Chickasaw County,12329.0,1192.0,9.668261821721146
 Iowa,Clarke County,9284.0,1601.0,17.244722102542006
 Iowa,Clay County,16555.0,1721.0,10.39565086076714
 Iowa,Clayton County,17900.0,2049.0,11.446927374301676
 Iowa,Clinton County,48663.0,6819.0,14.012699586955181
 Iowa,Crawford County,17259.0,3107.0,18.002201749811693
 Iowa,Dallas County,72124.0,5000.0,6.932505130053796
 Iowa,Davis County,8765.0,1929.0,22.007986309184254
 Iowa,Decatur County,8286.0,1417.0,17.101134443639875
 Iowa,Delaware County,17578.0,1457.0,8.288770053475936
 Iowa,Des Moines County,40265.0,6147.0,15.266360362597789
 Iowa,Dickinson County,16877.0,1135.0,6.725128873614979
 Iowa,Dubuque County,95166.0,10497.0,11.030199861295001
 Iowa,Emmet County,10068.0,1102.0,10.945570123162495
 Iowa,Fayette County,20693.0,2558.0,12.361668196974822
 Iowa,Floyd County,16153.0,2170.0,13.434037020986814
 Iowa,Franklin County,10572.0,1440.0,13.620885357548241
 Iowa,Fremont County,7200.0,724.0,10.055555555555555
 Iowa,Greene County,9232.0,1211.0,13.117417677642981
 Iowa,Grundy County,12403.0,851.0,6.8612432476013865
 Iowa,Guthrie County,10794.0,1210.0,11.209931443394478
 Iowa,Hamilton County,15363.0,1808.0,11.768534791381892
 Iowa,Hancock County,11175.0,968.0,8.662192393736017
 Iowa,Hardin County,17406.0,1546.0,8.881994714466275
 Iowa,Harrison County,14600.0,1371.0,9.39041095890411
 Iowa,Henry County,20197.0,3051.0,15.106203891667079
 Iowa,Howard County,9529.0,1160.0,12.173365515793892
 Iowa,Humboldt County,9731.0,1123.0,11.540437776179221
 Iowa,Ida County,7085.0,956.0,13.493295695130557
 Iowa,Iowa County,16316.0,1556.0,9.53665113998529
 Iowa,Jackson County,19656.0,2160.0,10.989010989010989
 Iowa,Jasper County,36715.0,3926.0,10.693177175541331
 Iowa,Jefferson County,17102.0,2139.0,12.507309086656532
 Iowa,Johnson County,136802.0,22733.0,16.617447113346294
 Iowa,Jones County,20607.0,1946.0,9.443393021788713
 Iowa,Keokuk County,10361.0,1319.0,12.730431425538075
 Iowa,Kossuth County,15347.0,1293.0,8.42509936795465
 Iowa,Lee County,35552.0,5616.0,15.796579657965797
 Iowa,Linn County,214927.0,20005.0,9.307811489482475
 Iowa,Louisa County,11305.0,1329.0,11.755860238832375
 Iowa,Lucas County,8785.0,1345.0,15.310187820147979
 Iowa,Lyon County,11680.0,908.0,7.773972602739726
 Iowa,Madison County,15629.0,1333.0,8.52901657175763
 Iowa,Mahaska County,22420.0,3159.0,14.090098126672613
 Iowa,Marion County,33308.0,3040.0,9.126936471718507
 Iowa,Marshall County,40922.0,4730.0,11.55857484971409
 Iowa,Mills County,14946.0,1061.0,7.0988893349391144
 Iowa,Mitchell County,10744.0,1159.0,10.787416232315712
 Iowa,Monona County,9149.0,1016.0,11.10503880205487
 Iowa,Monroe County,8019.0,854.0,10.649706946003242
 Iowa,Montgomery County,10549.0,1743.0,16.522893165228933
 Iowa,Muscatine County,42857.0,5658.0,13.202044006813356
 Iowa,O'Brien County,14173.0,1403.0,9.899103930007762
 Iowa,Osceola County,6279.0,500.0,7.963051441312311
 Iowa,Page County,15737.0,1940.0,12.327635508673826
 Iowa,Palo Alto County,9263.0,885.0,9.554140127388536
 Iowa,Plymouth County,24899.0,1851.0,7.434033495321097
 Iowa,Pocahontas County,7191.0,1060.0,14.74064803226255
 Iowa,Polk County,445136.0,54642.0,12.275349556090722
 Iowa,Pottawattamie County,93153.0,11985.0,12.865930243792471
 Iowa,Poweshiek County,18765.0,1930.0,10.285105249134027
 Iowa,Ringgold County,5082.0,809.0,15.918929555293191
 Iowa,Sac County,10162.0,776.0,7.636292068490454
 Iowa,Scott County,168714.0,21155.0,12.538971276835355
 Iowa,Shelby County,12034.0,1374.0,11.417649991690212
 Iowa,Sioux County,34261.0,2698.0,7.874843116079507
 Iowa,Story County,91939.0,18222.0,19.819663037448745
 Iowa,Tama County,17568.0,2117.0,12.050318761384336
 Iowa,Taylor County,6225.0,839.0,13.477911646586346
 Iowa,Union County,12554.0,1624.0,12.936115978970847
 Iowa,Van Buren County,7487.0,1089.0,14.545211700280486
 Iowa,Wapello County,35406.0,6575.0,18.57029881940914
 Iowa,Warren County,47058.0,2829.0,6.011730205278592
 Iowa,Washington County,21906.0,1820.0,8.308226056788095
 Iowa,Wayne County,6385.0,827.0,12.952231793265465
 Iowa,Webster County,37399.0,5490.0,14.679536886012995
