State,County,Population,Poverty Count,Total Poverty Rate (%)
 Iowa,Adair County,7426.0,764.0,10.28817667654188
 Iowa,Adams County,3892.0,388.0,9.969167523124357
 Iowa,Allamakee County,14060.0,1491.0,10.604551920341393
 Iowa,Appanoose County,12669.0,1719.0,13.568553161259768
 Iowa,Audubon County,5869.0,552.0,9.40535014482876
 Iowa,Benton County,25803.0,2440.0,9.456264775413711
 Iowa,Black Hawk County,132496.0,19887.0,15.009509721048182
 Iowa,Boone County,26401.0,2588.0,9.802658990189766
 Iowa,Bremer County,24539.0,1894.0,7.718325930152003
 Iowa,Buchanan County,20998.0,1970.0,9.38184589008477
 Iowa,Buena Vista County,20507.0,2452.0,11.956892768323012
 Iowa,Butler County,14966.0,1322.0,8.833355606040358
 Iowa,Calhoun County,9914.0,1384.0,13.960056485777688
 Iowa,Carroll County,20629.0,2047.0,9.92292403897426
 Iowa,Cass County,13590.0,1855.0,13.649742457689477
 Iowa,Cedar County,18375.0,1393.0,7.580952380952381
 Iowa,Cerro Gordo County,43481.0,5665.0,13.028679193210827
 Iowa,Cherokee County,11853.0,1281.0,10.807390534042014
 Iowa,Chickasaw County,12244.0,1067.0,8.714472394642273
 Iowa,Clarke County,9280.0,1493.0,16.088362068965516
 Iowa,Clay County,16537.0,1848.0,11.174941041301324
 Iowa,Clayton County,17806.0,1941.0,10.900819948332023
 Iowa,Clinton County,48365.0,6608.0,13.662772666184225
 Iowa,Crawford County,17252.0,3367.0,19.51657778808254
 Iowa,Dallas County,74892.0,4796.0,6.403888265769375
 Iowa,Davis County,8742.0,1657.0,18.95447266071837
 Iowa,Decatur County,8249.0,1541.0,18.681052248757425
 Iowa,Delaware County,17507.0,1717.0,9.807505569200892
 Iowa,Des Moines County,40208.0,6010.0,14.947274174293673
 Iowa,Dickinson County,16967.0,1100.0,6.483173218600814
 Iowa,Dubuque County,95906.0,11189.0,11.66663191041228
 Iowa,Emmet County,9917.0,1250.0,12.604618332156901
 Iowa,Fayette County,20589.0,2550.0,12.385254261984555
 Iowa,Floyd County,16050.0,1957.0,12.193146417445483
 Iowa,Franklin County,10489.0,1372.0,13.080369911335685
 Iowa,Fremont County,7106.0,757.0,10.652969321699972
 Iowa,Greene County,9174.0,1135.0,12.371920645301941
 Iowa,Grundy County,12407.0,757.0,6.101394374143629
 Iowa,Guthrie County,10740.0,1199.0,11.163873370577281
 Iowa,Hamilton County,15297.0,1712.0,11.19173694188403
 Iowa,Hancock County,11092.0,924.0,8.330328164442841
 Iowa,Hardin County,17393.0,1454.0,8.359684930719254
 Iowa,Harrison County,14467.0,1398.0,9.663371811709407
 Iowa,Henry County,20080.0,2695.0,13.421314741035857
 Iowa,Howard County,9494.0,1081.0,11.386138613861386
 Iowa,Humboldt County,9674.0,1155.0,11.939218523878438
 Iowa,Ida County,7071.0,809.0,11.441097440248903
 Iowa,Iowa County,16344.0,1391.0,8.51076847772883
