State,County,Population,Poverty Count,Total Poverty Rate (%)
 Iowa,Adair County,7588.0,704.0,9.277807063784923
 Iowa,Adams County,3973.0,442.0,11.125094387113013
 Iowa,Allamakee County,14242.0,1740.0,12.217385198708046
 Iowa,Appanoose County,12808.0,1924.0,15.021861336664585
 Iowa,Audubon County,6002.0,554.0,9.23025658113962
 Iowa,Benton County,25971.0,2159.0,8.313118478302723
 Iowa,Black Hawk County,131468.0,21308.0,16.20774637174065
 Iowa,Boone County,26310.0,2582.0,9.813759026985936
 Iowa,Bremer County,24387.0,1655.0,6.786402591544675
 Iowa,Buchanan County,20954.0,2036.0,9.716521905125513
 Iowa,Buena Vista County,20350.0,2442.0,12.0
 Iowa,Butler County,14909.0,1442.0,9.672010195184116
 Iowa,Calhoun County,9952.0,1258.0,12.640675241157556
 Iowa,Carroll County,20732.0,1954.0,9.425043411151842
 Iowa,Cass County,13793.0,1545.0,11.201334010005075
 Iowa,Cedar County,18452.0,1461.0,7.91784088445697
 Iowa,Cerro Gordo County,43932.0,5640.0,12.838022398251844
 Iowa,Cherokee County,12013.0,1123.0,9.348206110047448
 Iowa,Chickasaw County,12379.0,1252.0,10.113902576944826
 Iowa,Clarke County,9311.0,1238.0,13.29610138545806
 Iowa,Clay County,16604.0,1443.0,8.690676945314381
 Iowa,Clayton County,17990.0,2207.0,12.26792662590328
 Iowa,Clinton County,48896.0,6718.0,13.739365183246074
 Iowa,Crawford County,17205.0,2668.0,15.507120023249055
 Iowa,Dallas County,69526.0,4427.0,6.367402122946811
 Iowa,Davis County,8755.0,1820.0,20.788121073672187
 Iowa,Decatur County,8308.0,1476.0,17.76600866634569
 Iowa,Delaware County,17665.0,1452.0,8.219643362581376
 Iowa,Des Moines County,40301.0,5453.0,13.530681620803454
 Iowa,Dickinson County,16818.0,1278.0,7.599001070281841
 Iowa,Dubuque County,94411.0,9891.0,10.476533454788107
 Iowa,Emmet County,10141.0,1186.0,11.695099102652598
 Iowa,Fayette County,20822.0,2307.0,11.07962731726059
 Iowa,Floyd County,16177.0,2004.0,12.38795821227669
 Iowa,Franklin County,10623.0,1164.0,10.957356678904265
 Iowa,Fremont County,7291.0,727.0,9.971197366616376
 Iowa,Greene County,9255.0,1184.0,12.793084819016748
 Iowa,Grundy County,12416.0,856.0,6.894329896907217
 Iowa,Guthrie County,10843.0,1088.0,10.034123397583695
 Iowa,Hamilton County,15486.0,1869.0,12.068965517241379
 Iowa,Hancock County,11243.0,1150.0,10.228586676154052
 Iowa,Hardin County,17453.0,1429.0,8.187704119635592
 Iowa,Harrison County,14729.0,1377.0,9.348903523660805
 Iowa,Henry County,20188.0,3395.0,16.816920943134534
 Iowa,Howard County,9560.0,1087.0,11.370292887029288
 Iowa,Humboldt County,9776.0,972.0,9.942716857610474
 Iowa,Ida County,7099.0,992.0,13.973799126637555
 Iowa,Iowa County,16323.0,1742.0,10.67205783250628
 Iowa,Jackson County,19737.0,2047.0,10.371383695597101
 Iowa,Jasper County,36710.0,4105.0,11.182239171887769
