State,County,Total Poverty Rate (%),White Poverty Rate (%),Black Poverty Rate (%),Asian Poverty Rate (%),Hispanic Poverty Rate (%)
 Iowa,Adair County,8.365371867957046,8.060453400503778,0.13257324671881215,0.13257324671881215,0.2784038181095055
 Iowa,Adams County,10.744221488442976,9.448818897637794,0.6096012192024384,0.0,0.1778003556007112
 Iowa,Allamakee County,11.319954776710006,10.486150367439231,0.24024872809496892,0.07772752967778405,1.5121537591859808
 Iowa,Appanoose County,13.877999059118707,13.70550415555904,0.03136270973812137,0.0,0.22737964560137996
 Iowa,Audubon County,9.064869418702612,8.390901432181971,0.0,0.05054759898904802,0.4717775905644482
 Iowa,Benton County,8.565360108128983,8.125120679667889,0.11199073180150608,0.05020274184205445,0.26646070670013516
 Iowa,Black Hawk County,15.8540929312527,11.281802541929714,3.5150477085496448,0.33877238588221026,0.976149514577823
 Iowa,Boone County,10.404163184684343,9.150649547975386,0.8622654410088886,0.0,0.32667325077869785
 Iowa,Bremer County,7.401658428985744,6.760344757158613,0.024508802744985906,0.1266288141824272,0.22057922470487318
 Iowa,Buchanan County,8.879553157970115,8.430801546760872,0.07638325297178594,0.11934883276841553,0.19095813242946483
 Iowa,Buena Vista County,11.422287390029325,7.878787878787879,1.050830889540567,0.4203323558162268,3.0303030303030303
 Iowa,Butler County,9.060537217693438,9.00708272083389,0.0,0.0,0.08018174528932247
 Iowa,Calhoun County,13.817635270541082,12.905811623246493,0.37074148296593185,0.01002004008016032,0.4408817635270541
 Iowa,Carroll County,9.375905709593276,7.868804946381992,0.7777026374263356,0.0,0.8308376002318617
 Iowa,Cass County,13.107930480502409,12.611362640572514,0.014604936468526362,0.20446911055936906,0.6718270775522126
 Iowa,Cedar County,7.91472279483563,7.475317348377997,0.0,0.11934468916133233,0.2766626885103613
 Iowa,Cerro Gordo County,13.44407074381678,12.702770723225113,0.40954538174663097,0.0,0.9655203971903814
 Iowa,Cherokee County,9.180437322650643,8.913370055082623,0.0,0.0,0.4506760140210315
 Iowa,Chickasaw County,9.668261821721146,9.027496147294995,0.24332873712385433,0.24332873712385433,0.6326547165220212
 Iowa,Clarke County,17.244722102542006,16.846186988367084,0.010771219302024989,0.0,5.31021111589832
 Iowa,Clay County,10.39565086076714,9.785563273935367,0.09664753850800363,0.05436424041075204,0.7550588945937783
 Iowa,Clayton County,11.446927374301676,10.938547486033519,0.30726256983240224,0.01675977653631285,0.5642458100558659
 Iowa,Clinton County,14.012699586955181,11.77485974970717,1.015144976676325,0.29796765509730183,0.8610237757639274
 Iowa,Crawford County,18.002201749811693,15.557100643142709,0.9328466307433803,0.27232168723564515,9.085115012457269
 Iowa,Dallas County,6.932505130053796,6.187954079086018,0.12339859131495758,0.2412511785258721,0.7362320448117131
 Iowa,Davis County,22.007986309184254,21.962350256702795,0.0,0.0,0.34227039361095263
 Iowa,Decatur County,17.101134443639875,16.316678735216026,0.1568911416847695,0.13275404296403573,0.27757663528843834
 Iowa,Delaware County,8.288770053475936,8.004323586301059,0.07964501080896576,0.011377858686995108,0.46080327682330186
 Iowa,Des Moines County,15.266360362597789,12.28113746429902,2.776604991928474,0.0496709300881659,0.7425804048180802
 Iowa,Dickinson County,6.725128873614979,6.393316347692125,0.0,0.02962611838596907,0.14813059192984535
 Iowa,Dubuque County,11.030199861295001,9.070466343021668,0.7807410209528614,0.13345102242397494,0.6283756803900553
 Iowa,Emmet County,10.945570123162495,10.647596344854986,0.06952721493841875,0.0,1.688518077075884
 Iowa,Fayette County,12.361668196974822,11.235683564490408,0.28995312424491376,0.009665104141497124,0.7345479147537815
 Iowa,Floyd County,13.434037020986814,11.04438803937349,1.7272333312697332,0.16096081223302172,1.2133968922181637
 Iowa,Franklin County,13.620885357548241,10.96292092319334,0.6621263715474839,0.0,5.06053726825577
 Iowa,Fremont County,10.055555555555555,9.694444444444445,0.08333333333333333,0.0,0.5416666666666666
 Iowa,Greene County,13.117417677642981,12.21837088388215,0.0,0.0,0.9207105719237435
 Iowa,Grundy County,6.8612432476013865,6.635491413367734,0.06450052406675805,0.032250262033379024,0.0725630895751028
 Iowa,Guthrie County,11.209931443394478,10.82082638502872,0.10190846766722253,0.0,0.5743931813970724
 Iowa,Hamilton County,11.768534791381892,9.314586994727593,0.03254572674607824,0.5337499186356831,2.330274035019202
 Iowa,Hancock County,8.662192393736017,7.293064876957494,0.43847874720357943,0.0,1.5480984340044743
 Iowa,Hardin County,8.881994714466275,8.663679191083535,0.0,0.0,0.7353786050787084
 Iowa,Harrison County,9.39041095890411,9.219178082191782,0.0136986301369863,0.03424657534246575,0.0958904109589041
 Iowa,Henry County,15.106203891667079,13.081150665940486,0.9258800812001783,0.13368322028023963,1.727979402881616
 Iowa,Howard County,12.173365515793892,11.82705425543079,0.0629656837023822,0.0,0.4407597859166754
 Iowa,Humboldt County,11.540437776179221,10.399753365532833,0.0,0.0,0.9043263796115507
 Iowa,Ida County,13.493295695130557,13.027522935779816,0.4234297812279464,0.0,0.7904022582921666
 Iowa,Iowa County,9.53665113998529,9.046334886001471,0.006128953174797744,0.08580534444716842,0.012257906349595489
 Iowa,Jackson County,10.989010989010989,9.996947496947497,0.07631257631257632,0.18315018315018314,0.17806267806267806
 Iowa,Jasper County,10.693177175541331,10.273730083072314,0.1307367560942394,0.013618412093149939,0.47119705842298787
 Iowa,Jefferson County,12.507309086656532,10.074845047362881,0.6548941644252134,1.1051339024675477,0.8186177055315168
 Iowa,Johnson County,16.617447113346294,12.568529699858189,1.7792137541848803,1.402757269630561,1.0284937354717036
