,County,Date,Sale (Dollars),Volume Sold (Gallons),Population,Poverty Count,Total Poverty Rate (%)
83,Sioux,2014,1424805.42,28639.02,34261.0,2698.0,7.874843116079508
84,Story,2014,8391239.43,158045.54,91939.0,18222.0,19.81966303744875
85,Tama,2014,596348.78,12920.65,17568.0,2117.0,12.050318761384338
86,Taylor,2014,98038.53,2094.86,6225.0,839.0,13.477911646586346
87,Union,2014,921609.93,18551.44,12554.0,1624.0,12.936115978970847
88,Van Buren,2014,179516.67,3492.52,7487.0,1089.0,14.545211700280484
89,Wapello,2014,2539000.33,48083.78,35406.0,6575.0,18.570298819409143
90,Warren,2014,2048282.52,42034.71,47058.0,2829.0,6.011730205278593
91,Washington,2014,1388068.73,25022.12,21906.0,1820.0,8.308226056788095
92,Wayne,2014,70010.95,1551.44,6385.0,827.0,12.952231793265465
93,Webster,2014,2887574.26,56498.52,37399.0,5490.0,14.679536886012995
94,Winnebago,2014,690021.56,15174.88,10645.0,1026.0,9.638327853452324
95,Winneshiek,2014,1355288.84,26830.63,20957.0,1450.0,6.918929236054778
96,Woodbury,2014,9260145.06,169388.07,102372.0,15434.0,15.076388074864221
97,Worth,2014,237997.77,5173.99,7567.0,966.0,12.76595744680851
98,Wright,2014,558336.27,12264.92,13007.0,1448.0,11.132467133082187
