,County,Date,Sale (Dollars),Volume Sold (Gallons),Population,Poverty Count,Total Poverty Rate (%)
0,Adair,2014,413071.07,8819.07,7543.0,631.0,8.365371867957046
1,Adams,2014,90524.22,1771.07,3937.0,423.0,10.744221488442976
2,Allamakee,2014,795778.07,17132.22,14152.0,1602.0,11.319954776710004
3,Appanoose,2014,769647.57,15495.34,12754.0,1770.0,13.877999059118707
4,Audubon,2014,168113.6,3949.93,5935.0,538.0,9.064869418702614
5,Benton,2014,698404.3,15458.34,25895.0,2218.0,8.565360108128983
6,Black Hawk,2014,15833551.46,288527.84,131947.0,20919.0,15.8540929312527
7,Boone,2014,1671568.1,35627.73,26326.0,2739.0,10.404163184684343
8,Bremer,2014,1761823.88,36920.2,24481.0,1812.0,7.401658428985745
9,Buchanan,2014,1345316.93,27686.23,20947.0,1860.0,8.879553157970115
10,Buena Vista,2014,1661424.36,32419.31,20460.0,2337.0,11.422287390029323
11,Butler,2014,271812.5,6479.65,14966.0,1356.0,9.060537217693437
12,Calhoun,2014,328441.27,7462.4,9980.0,1379.0,13.817635270541082
13,Carroll,2014,2285421.8,45903.65,20702.0,1941.0,9.375905709593276
14,Cass,2014,1062224.34,21656.53,13694.0,1795.0,13.107930480502407
15,Cedar,2014,505572.64,11074.42,18434.0,1459.0,7.91472279483563
16,Cerro Gordo,2014,5633811.63,116051.18,43707.0,5876.0,13.444070743816779
17,Cherokee,2014,670926.9,14491.44,11982.0,1100.0,9.180437322650645
18,Chickasaw,2014,380539.37,9032.17,12329.0,1192.0,9.668261821721146
19,Clarke,2014,594923.27,12025.01,9284.0,1601.0,17.244722102542006
20,Clay,2014,1479853.53,32644.97,16555.0,1721.0,10.395650860767141
21,Clayton,2014,686819.22,14253.59,17900.0,2049.0,11.446927374301676
22,Clinton,2014,3332356.55,67296.85,48663.0,6819.0,14.012699586955181
23,Crawford,2014,1287052.65,25511.11,17259.0,3107.0,18.002201749811693
24,Dallas,2014,5827022.8,89977.28,72124.0,5000.0,6.932505130053795
25,Davis,2014,97975.29,2241.17,8765.0,1929.0,22.007986309184254
26,Decatur,2014,168284.41,3403.09,8286.0,1417.0,17.101134443639875
27,Delaware,2014,881656.03,18073.0,17578.0,1457.0,8.288770053475936
28,Des Moines,2014,3570182.82,65748.77,40265.0,6147.0,15.266360362597787
29,Dickinson,2014,3667009.21,72791.28,16877.0,1135.0,6.725128873614978
30,Dubuque,2014,8145792.36,155670.18,95166.0,10497.0,11.030199861295
31,Emmet,2014,583462.49,12694.0,10068.0,1102.0,10.945570123162495
32,Fayette,2014,1120694.84,24960.5,20693.0,2558.0,12.36166819697482
33,Floyd,2014,1069348.34,22244.06,16153.0,2170.0,13.434037020986814
34,Franklin,2014,483340.73,10533.09,10572.0,1440.0,13.62088535754824
35,Fremont,2014,11229.36,215.7493152,7200.0,724.0,10.055555555555557
36,Greene,2014,337735.54,7284.74,9232.0,1211.0,13.11741767764298
37,Grundy,2014,276976.88,6354.75,12403.0,851.0,6.8612432476013865
38,Guthrie,2014,271943.65,5812.06,10794.0,1210.0,11.209931443394478
39,Hamilton,2014,850255.35,18501.22,15363.0,1808.0,11.768534791381892
40,Hancock,2014,271874.79,6692.69,11175.0,968.0,8.662192393736017
41,Hardin,2014,1784257.99,37311.33,17406.0,1546.0,8.881994714466275
42,Harrison,2014,441443.72,9093.84,14600.0,1371.0,9.39041095890411
43,Henry,2014,1053207.59,20645.44,20197.0,3051.0,15.10620389166708
44,Howard,2014,791056.1,17224.98,9529.0,1160.0,12.173365515793893
45,Humboldt,2014,642619.17,14055.31,9731.0,1123.0,11.540437776179221
46,Ida,2014,407028.65,8464.39,7085.0,956.0,13.493295695130556
47,Iowa,2014,1536444.13,31466.36,16316.0,1556.0,9.53665113998529
48,Jackson,2014,1160665.14,24419.19,19656.0,2160.0,10.989010989010987
49,Jasper,2014,1742732.31,36252.9,36715.0,3926.0,10.693177175541331
50,Jefferson,2014,781815.46,15129.61,17102.0,2139.0,12.507309086656532
51,Johnson,2014,16657159.53,282883.75,136802.0,22733.0,16.617447113346294
52,Jones,2014,1077679.84,23557.42,20607.0,1946.0,9.443393021788713
53,Keokuk,2014,146252.63,3442.19,10361.0,1319.0,12.730431425538075
54,Kossuth,2014,1735309.67,35933.24,15347.0,1293.0,8.42509936795465
55,Lee,2014,3399047.77,65043.07,35552.0,5616.0,15.796579657965795
56,Linn,2014,23575832.62,446002.72,214927.0,20005.0,9.307811489482477
57,Louisa,2014,236410.23,4664.12,11305.0,1329.0,11.755860238832376
58,Lucas,2014,416887.64,8306.71,8785.0,1345.0,15.310187820147982
59,Lyon,2014,702287.56,13883.38,11680.0,908.0,7.773972602739726
60,Madison,2014,596099.7,12272.17,15629.0,1333.0,8.52901657175763
61,Mahaska,2014,949565.92,19277.39,22420.0,3159.0,14.090098126672613
62,Marion,2014,1944980.54,37699.83,33308.0,3040.0,9.126936471718508
63,Marshall,2014,2729311.94,52255.1,40922.0,4730.0,11.558574849714091
64,Mills,2014,423670.17,9105.61,14946.0,1061.0,7.098889334939114
65,Mitchell,2014,442030.29,9787.4,10744.0,1159.0,10.787416232315712
66,Monona,2014,537095.9,10410.14,9149.0,1016.0,11.105038802054871
67,Monroe,2014,293311.1,6128.81,8019.0,854.0,10.649706946003242
68,Montgomery,2014,604338.92,12189.18,10549.0,1743.0,16.522893165228933
69,Muscatine,2014,2964742.92,57359.17,42857.0,5658.0,13.202044006813354
70,O'Brien,2014,1232846.98,26656.74,14173.0,1403.0,9.899103930007762
71,Osceola,2014,238594.03,5146.59,6279.0,500.0,7.963051441312312
72,Page,2014,1135061.93,21891.84,15737.0,1940.0,12.327635508673826
73,Palo Alto,2014,634074.34,13262.24,9263.0,885.0,9.554140127388537
74,Plymouth,2014,1572071.62,31071.25,24899.0,1851.0,7.434033495321097
75,Pocahontas,2014,337373.37,8073.76,7191.0,1060.0,14.740648032262552
76,Polk,2014,59476777.54,1034448.63,445136.0,54642.0,12.275349556090722
77,Pottawattamie,2014,9667883.18,175911.18,93153.0,11985.0,12.865930243792471
78,Poweshiek,2014,1414533.39,27009.38,18765.0,1930.0,10.285105249134027
79,Ringgold,2014,142328.97,3006.55,5082.0,809.0,15.918929555293193
80,Sac,2014,517589.29,11509.26,10162.0,776.0,7.636292068490454
81,Scott,2014,19538877.03,343795.87,168714.0,21155.0,12.538971276835357
82,Shelby,2014,792223.05,15668.58,12034.0,1374.0,11.417649991690213
