,County,Date,Sale (Dollars),Volume Sold (Gallons),Population,Poverty Count,Total Poverty Rate (%)
0,Adair,2012,413691.48,8796.29,7628.0,739.0,9.687991609858416
1,Adams,2012,96674.89,1964.27,4027.0,445.0,11.05040973429352
2,Allamakee,2012,785647.44,17362.72,14285.0,1534.0,10.738536926846342
3,Appanoose,2012,687274.18,14320.61,12858.0,1803.0,14.022398506766214
4,Audubon,2012,163577.03,3989.31,6077.0,630.0,10.366957380286326
5,Benton,2012,640689.25,14409.77,26044.0,2015.0,7.736906773153126
6,Black Hawk,2012,15216821.8,285436.38,130843.0,20539.0,15.697438915341287
7,Boone,2012,1457656.61,32135.01,26324.0,2310.0,8.775262118219116
8,Bremer,2012,1776898.8,37875.99,24294.0,1698.0,6.9893800938503325
9,Buchanan,2012,1306200.0,27465.76,20988.0,2219.0,10.572708214217649
10,Buena Vista,2012,1664076.55,33797.9,20215.0,2403.0,11.8872124659906
11,Butler,2012,224592.95,5549.63,14899.0,1487.0,9.980535606416536
12,Calhoun,2012,358617.3,8470.68,9936.0,1290.0,12.983091787439616
13,Carroll,2012,2398414.69,47792.59,20751.0,1955.0,9.421232711676543
14,Cass,2012,1156054.73,23722.99,13865.0,1735.0,12.513523260007211
15,Cedar,2012,435222.12,9791.62,18446.0,1502.0,8.142686761357476
16,Cerro Gordo,2012,5434307.18,116826.56,44083.0,6199.0,14.062110110473425
17,Cherokee,2012,711474.27,15601.4,12011.0,793.0,6.602281242194655
18,Chickasaw,2012,384806.79,8816.55,12409.0,1237.0,9.968571198323797
19,Clarke,2012,505187.3,10613.72,9286.0,1121.0,12.071936248115444
20,Clay,2012,1427106.77,32913.92,16649.0,1682.0,10.102708871403687
21,Clayton,2012,508343.39,10661.28,18056.0,2274.0,12.594151528577758
22,Clinton,2012,3286709.16,68409.66,49074.0,6399.0,13.039491380364346
23,Crawford,2012,1287620.56,26905.64,17100.0,2497.0,14.602339181286547
24,Dallas,2012,4150888.35,67489.17,66997.0,4629.0,6.909264593937043
25,Davis,2012,86467.15,2131.93,8718.0,1453.0,16.666666666666668
26,Decatur,2012,152663.26,3015.59,8382.0,1512.0,18.038654259126698
27,Delaware,2012,884699.06,18219.86,17721.0,1355.0,7.646295355792563
28,Des Moines,2012,3116052.59,63356.36,40268.0,5724.0,14.214761100625806
29,Dickinson,2012,3710672.72,76999.48,16778.0,1295.0,7.718440815353439
30,Dubuque,2012,8007198.95,159027.55,93776.0,9248.0,9.861798327930387
31,Emmet,2012,657258.05,14667.91,10263.0,998.0,9.72425216798207
