,County,Date,Sale (Dollars),Volume Sold (Gallons),Population,Poverty Count,Total Poverty Rate (%)
0,Adair,2015,424750.82,8970.71,7426.0,764.0,10.28817667654188
1,Adams,2015,100596.8,1994.06,3892.0,388.0,9.969167523124355
2,Allamakee,2015,823579.28,17493.9,14060.0,1491.0,10.604551920341393
3,Appanoose,2015,835381.93,16251.67,12669.0,1719.0,13.568553161259768
4,Audubon,2015,173849.23,3924.64,5869.0,552.0,9.405350144828759
5,Benton,2015,726075.75,15685.86,25803.0,2440.0,9.456264775413713
6,Black Hawk,2015,16064552.82,285577.56,132496.0,19887.0,15.00950972104818
7,Boone,2015,1751063.03,36221.04,26401.0,2588.0,9.802658990189766
8,Bremer,2015,1794322.78,37046.7,24539.0,1894.0,7.718325930152003
9,Buchanan,2015,1297984.66,26600.66,20998.0,1970.0,9.38184589008477
10,Buena Vista,2015,1802902.99,34332.97,20507.0,2452.0,11.956892768323012
11,Butler,2015,283132.74,6759.61,14966.0,1322.0,8.833355606040357
12,Calhoun,2015,322593.15,7421.55,9914.0,1384.0,13.960056485777688
13,Carroll,2015,2341824.75,45989.59,20629.0,2047.0,9.92292403897426
14,Cass,2015,1142073.39,22643.81,13590.0,1855.0,13.649742457689474
15,Cedar,2015,528595.64,11206.97,18375.0,1393.0,7.580952380952381
16,Cerro Gordo,2015,5751979.57,116445.68,43481.0,5665.0,13.028679193210829
17,Cherokee,2015,743338.94,15310.1,11853.0,1281.0,10.807390534042012
18,Chickasaw,2015,379533.89,8870.0,12244.0,1067.0,8.714472394642272
19,Clarke,2015,665423.91,12772.58,9280.0,1493.0,16.088362068965516
20,Clay,2015,1571856.45,33530.62,16537.0,1848.0,11.174941041301324
21,Clayton,2015,702285.61,14093.8,17806.0,1941.0,10.900819948332023
22,Clinton,2015,3401524.7,67635.61,48365.0,6608.0,13.662772666184225
23,Crawford,2015,1265170.37,24842.03,17252.0,3367.0,19.51657778808254
24,Dallas,2015,5562538.96,85584.98,74892.0,4796.0,6.403888265769376
25,Davis,2015,96185.96,2114.43,8742.0,1657.0,18.954472660718373
26,Decatur,2015,177470.88,3260.52,8249.0,1541.0,18.681052248757428
27,Delaware,2015,871470.79,17570.09,17507.0,1717.0,9.807505569200892
28,Des Moines,2015,3852786.75,67626.32,40208.0,6010.0,14.947274174293673
29,Dickinson,2015,3967311.85,76519.02,16967.0,1100.0,6.483173218600813
30,Dubuque,2015,8710159.48,162162.71,95906.0,11189.0,11.666631910412278
31,Emmet,2015,585747.34,12411.31,9917.0,1250.0,12.604618332156901
32,Fayette,2015,1124619.0,25008.8,20589.0,2550.0,12.385254261984556
33,Floyd,2015,1225631.24,24091.16,16050.0,1957.0,12.193146417445483
34,Franklin,2015,488710.08,10362.04,10489.0,1372.0,13.080369911335685
35,Fremont,2015,24029.55,454.6136849,7106.0,757.0,10.652969321699972
36,Greene,2015,583474.3,11216.0,9174.0,1135.0,12.371920645301941
37,Grundy,2015,302289.79,6958.73,12407.0,757.0,6.101394374143629
38,Guthrie,2015,295573.47,6125.77,10740.0,1199.0,11.163873370577278
39,Hamilton,2015,850165.6,18187.72,15297.0,1712.0,11.19173694188403
40,Hancock,2015,308398.74,7487.39,11092.0,924.0,8.330328164442841
41,Hardin,2015,1820394.05,37941.72,17393.0,1454.0,8.359684930719254
42,Harrison,2015,507430.9,10184.74,14467.0,1398.0,9.663371811709409
43,Henry,2015,1083269.58,20742.36,20080.0,2695.0,13.421314741035856
44,Howard,2015,710520.03,15354.03,9494.0,1081.0,11.386138613861384
45,Humboldt,2015,648738.09,13854.83,9674.0,1155.0,11.939218523878438
46,Ida,2015,547270.83,10597.13,7071.0,809.0,11.441097440248905
47,Iowa,2015,1064852.78,22613.11,16344.0,1391.0,8.510768477728831
48,Jackson,2015,1207416.17,25039.43,19572.0,2343.0,11.971183323114653
49,Jasper,2015,1671867.55,34996.07,36726.0,3342.0,9.099820290802155
50,Jefferson,2015,863813.42,15948.97,17318.0,2311.0,13.344497055087194
51,Johnson,2015,17673297.64,293651.22,139436.0,23537.0,16.88014572994062
52,Jones,2015,1015238.25,22195.04,20560.0,1950.0,9.48443579766537
53,Keokuk,2015,149560.78,3441.26,10291.0,1374.0,13.351472160139927
54,Kossuth,2015,1769012.89,36075.0,15280.0,1357.0,8.880890052356019
55,Lee,2015,3876840.25,69792.96,35369.0,5791.0,16.37309508326501
56,Linn,2015,24989946.22,461054.5,216640.0,20747.0,9.576717134416544
57,Louisa,2015,232427.95,4370.55,11271.0,1357.0,12.039748025907194
58,Lucas,2015,415069.06,7967.83,8731.0,1126.0,12.896575420913985
59,Lyon,2015,788587.32,15176.26,11723.0,843.0,7.19099206687708
60,Madison,2015,766306.28,15616.53,15644.0,1164.0,7.440552288417286
61,Mahaska,2015,962686.79,18833.39,22396.0,3206.0,14.315056260046434
62,Marion,2015,1974697.44,37099.64,33248.0,3124.0,9.396053897978828
63,Marshall,2015,3026309.07,55067.68,40962.0,4429.0,10.812460329085495
64,Mills,2015,436874.08,9089.3,14862.0,1300.0,8.747140357959898
65,Mitchell,2015,437388.82,9852.18,10762.0,1005.0,9.33841293439881
66,Monona,2015,519700.46,10050.24,9088.0,1233.0,13.567341549295776
67,Monroe,2015,310752.35,6046.9,8002.0,944.0,11.797050737315669
68,Montgomery,2015,625465.12,12433.34,10465.0,1717.0,16.407071189679886
69,Muscatine,2015,3023950.74,58260.69,42913.0,5219.0,12.161815766783958
70,O'Brien,2015,1273098.87,27003.02,14092.0,1013.0,7.188475730911155
71,Osceola,2015,259985.23,5399.16,6211.0,521.0,8.388343261954597
72,Page,2015,1178275.96,22076.23,15660.0,2262.0,14.444444444444445
73,Palo Alto,2015,603797.3,12596.9,9208.0,948.0,10.295395308427457
74,Plymouth,2015,1558273.49,30374.05,24853.0,1907.0,7.673117933448678
75,Pocahontas,2015,327370.38,7768.88,7127.0,987.0,13.848744212150974
76,Polk,2015,63748122.62,1074706.27,452369.0,57143.0,12.631944275580336
77,Pottawattamie,2015,10056843.86,178887.81,93213.0,11779.0,12.636649394397777
78,Poweshiek,2015,1349652.23,25535.86,18705.0,1767.0,9.446672012830792
79,Ringgold,2015,138680.81,2927.11,5061.0,514.0,10.156095633274058
80,Sac,2015,546378.45,11865.53,10101.0,805.0,7.969507969507968
81,Scott,2015,20422368.43,349205.94,169994.0,20229.0,11.899831758767956
82,Shelby,2015,836308.77,16249.48,11992.0,1307.0,10.898932621747832
83,Sioux,2015,1502398.07,29581.11,34509.0,2663.0,7.716827494276855
84,Story,2015,8559325.44,159207.68,93586.0,19109.0,20.418652362532857
85,Tama,2015,638455.4,13592.68,17479.0,1919.0,10.978888952457234
86,Taylor,2015,110598.35,2227.95,6213.0,860.0,13.841944310317075
87,Union,2015,968807.5,19373.91,12575.0,1676.0,13.328031809145127
88,Van Buren,2015,174245.69,3373.1,7432.0,1095.0,14.733584499461784
89,Wapello,2015,2745634.87,50614.32,35315.0,6399.0,18.11977913068101
90,Warren,2015,2350365.27,47088.8,47542.0,3124.0,6.571031929662192
91,Washington,2015,1462246.29,25807.2,22017.0,2013.0,9.142935004769043
92,Wayne,2015,105438.35,2113.67,6384.0,834.0,13.063909774436093
93,Webster,2015,3283169.41,62333.12,37295.0,5210.0,13.969701032309963
94,Winnebago,2015,727026.88,15868.75,10614.0,995.0,9.3744111550782
95,Winneshiek,2015,1284923.04,25824.17,20884.0,1507.0,7.216050565025857
96,Woodbury,2015,10115238.44,177709.61,102530.0,14557.0,14.197795767092558
97,Worth,2015,258916.55,5745.06,7563.0,887.0,11.728150204945129
98,Wright,2015,609443.42,13095.51,12936.0,1412.0,10.915275200989488
