,County,Date,Sale (Dollars),Volume Sold (Gallons)
0,Adair,2013,378584.26,8231.66
1,Adams,2013,91286.24,1809.9
2,Allamakee,2013,811512.37,17728.38
3,Appanoose,2013,780715.27,15546.19
4,Audubon,2013,162023.28,3785.7
5,Benton,2013,687998.46,15055.11
6,Black Hawk,2013,15107130.74,277660.05
7,Boone,2013,1664919.58,35610.35
8,Bremer,2013,1761039.09,37036.9
9,Buchanan,2013,1294292.75,26779.24
10,Buena Vista,2013,1731553.39,33715.52
11,Butler,2013,242020.56,5941.47
12,Calhoun,2013,336587.03,7758.54
13,Carroll,2013,2173263.14,44294.62
14,Cass,2013,1058351.53,21825.27
15,Cedar,2013,474237.9,10619.35
16,Cerro Gordo,2013,5329229.12,111919.86
17,Cherokee,2013,756107.26,16307.89
18,Chickasaw,2013,356483.05,8540.68
19,Clarke,2013,551376.29,11345.89
20,Clay,2013,1463129.05,32781.6
21,Clayton,2013,544075.09,11063.46
22,Clinton,2013,3288669.49,66347.45
23,Crawford,2013,1202377.43,23823.78
24,Dallas,2013,4734861.59,75206.85
25,Davis,2013,93660.91,2231.86
26,Decatur,2013,168167.12,3313.56
27,Delaware,2013,929929.74,18901.03
28,Des Moines,2013,3107413.21,60497.28
29,Dickinson,2013,3682930.49,74432.5
30,Dubuque,2013,7850343.32,151477.45
31,Emmet,2013,660335.97,14659.01
32,Fayette,2013,1091413.95,24839.35
33,Floyd,2013,1017670.96,21611.69
34,Franklin,2013,464003.84,10007.95
35,Fremont,2013,25211.4,442.4881877
36,Greene,2013,304800.34,6665.19
37,Grundy,2013,287964.31,6428.96
38,Guthrie,2013,264970.17,5712.21
39,Hamilton,2013,824559.75,18068.62
40,Hancock,2013,263653.9,6588.62
41,Hardin,2013,1574701.54,34252.46
42,Harrison,2013,442719.23,9124.41
43,Henry,2013,1056372.11,20134.94
44,Howard,2013,736543.49,16213.08
45,Humboldt,2013,601800.35,13118.53
46,Ida,2013,423016.51,8978.21
47,Iowa,2013,1660767.69,34823.71
48,Jackson,2013,1181949.59,24956.32
49,Jasper,2013,1716299.27,36003.97
50,Jefferson,2013,790566.53,15642.21
51,Johnson,2013,15266328.93,263749.65
52,Jones,2013,1150084.83,25735.96
53,Keokuk,2013,142893.28,3313.52
54,Kossuth,2013,1661485.89,34974.89
55,Lee,2013,2977703.5,58969.72
56,Linn,2013,23224587.71,440499.61
57,Louisa,2013,232094.26,4744.33
58,Lucas,2013,345505.24,7163.41
59,Lyon,2013,636165.61,12437.83
60,Madison,2013,590210.08,12599.35
61,Mahaska,2013,916465.9,18516.72
62,Marion,2013,1858281.08,36822.82
63,Marshall,2013,2686227.02,52652.61
64,Mills,2013,446688.44,9626.21
65,Mitchell,2013,446790.1,9771.2
66,Monona,2013,519200.82,10525.16
67,Monroe,2013,272537.59,5476.31
68,Montgomery,2013,541214.47,11680.8
69,Muscatine,2013,2817560.97,54945.12
70,O'Brien,2013,1198222.55,26279.39
71,Osceola,2013,220987.87,4915.14
72,Page,2013,1148726.23,22053.18
73,Palo Alto,2013,668744.71,14247.31
74,Plymouth,2013,1504671.73,30213.87
75,Pocahontas,2013,339550.61,8102.31
76,Polk,2013,56057048.32,990043.91
77,Pottawattamie,2013,9138901.33,168666.16
78,Poweshiek,2013,1338820.89,26311.43
79,Ringgold,2013,141162.23,2958.56
80,Sac,2013,511411.26,11400.83
81,Scott,2013,18384930.01,331797.19
82,Shelby,2013,722370.59,14505.16
83,Sioux,2013,1477890.63,29947.56
84,Story,2013,7910476.99,151856.93
85,Tama,2013,556036.88,11860.24
86,Taylor,2013,101833.15,2158.43
87,Union,2013,953472.71,19469.78
88,Van Buren,2013,185716.51,3596.09
89,Wapello,2013,2495451.02,48365.56
90,Warren,2013,1943461.9,40046.89
91,Washington,2013,1280723.01,23996.07
92,Wayne,2013,85065.15,1879.52
93,Webster,2013,3085081.36,61340.05
94,Winnebago,2013,665467.71,14775.47
95,Winneshiek,2013,1304110.2,26603.97
96,Woodbury,2013,8720322.41,163224.13
97,Worth,2013,216661.51,4660.98
98,Wright,2013,606333.07,13281.59
