,County,Date,Sale (Dollars),Volume Sold (Gallons)
0,Adair,2014,413071.07,8819.07
1,Adams,2014,90524.22,1771.07
2,Allamakee,2014,795778.07,17132.22
3,Appanoose,2014,769647.57,15495.34
4,Audubon,2014,168113.6,3949.93
5,Benton,2014,698404.3,15458.34
6,Black Hawk,2014,15833551.46,288527.84
7,Boone,2014,1671568.1,35627.73
8,Bremer,2014,1761823.88,36920.2
9,Buchanan,2014,1345316.93,27686.23
10,Buena Vista,2014,1661424.36,32419.31
11,Butler,2014,271812.5,6479.65
12,Calhoun,2014,328441.27,7462.4
13,Carroll,2014,2285421.8,45903.65
14,Cass,2014,1062224.34,21656.53
15,Cedar,2014,505572.64,11074.42
16,Cerro Gordo,2014,5633811.63,116051.18
17,Cherokee,2014,670926.9,14491.44
18,Chickasaw,2014,380539.37,9032.17
19,Clarke,2014,594923.27,12025.01
20,Clay,2014,1479853.53,32644.97
21,Clayton,2014,686819.22,14253.59
22,Clinton,2014,3332356.55,67296.85
23,Crawford,2014,1287052.65,25511.11
24,Dallas,2014,5827022.8,89977.28
25,Davis,2014,97975.29,2241.17
26,Decatur,2014,168284.41,3403.09
27,Delaware,2014,881656.03,18073.0
28,Des Moines,2014,3570182.82,65748.77
29,Dickinson,2014,3667009.21,72791.28
30,Dubuque,2014,8145792.36,155670.18
31,Emmet,2014,583462.49,12694.0
32,Fayette,2014,1120694.84,24960.5
33,Floyd,2014,1069348.34,22244.06
34,Franklin,2014,483340.73,10533.09
35,Fremont,2014,11229.36,215.74931519999998
36,Greene,2014,337735.54,7284.74
37,Grundy,2014,276976.88,6354.75
38,Guthrie,2014,271943.65,5812.06
39,Hamilton,2014,850255.35,18501.22
40,Hancock,2014,271874.79,6692.69
41,Hardin,2014,1784257.99,37311.33
42,Harrison,2014,441443.72,9093.84
43,Henry,2014,1053207.59,20645.44
44,Howard,2014,791056.1,17224.98
45,Humboldt,2014,642619.17,14055.31
46,Ida,2014,407028.65,8464.39
47,Iowa,2014,1536444.13,31466.36
48,Jackson,2014,1160665.14,24419.19
49,Jasper,2014,1742732.31,36252.9
50,Jefferson,2014,781815.46,15129.61
51,Johnson,2014,16657159.53,282883.75
52,Jones,2014,1077679.84,23557.42
53,Keokuk,2014,146252.63,3442.19
54,Kossuth,2014,1735309.67,35933.24
55,Lee,2014,3399047.77,65043.07
56,Linn,2014,23575832.62,446002.72
57,Louisa,2014,236410.23,4664.12
58,Lucas,2014,416887.64,8306.71
59,Lyon,2014,702287.56,13883.38
60,Madison,2014,596099.7,12272.17
61,Mahaska,2014,949565.92,19277.39
62,Marion,2014,1944980.54,37699.83
63,Marshall,2014,2729311.94,52255.1
64,Mills,2014,423670.17,9105.61
65,Mitchell,2014,442030.29,9787.4
66,Monona,2014,537095.9,10410.14
67,Monroe,2014,293311.1,6128.81
68,Montgomery,2014,604338.92,12189.18
69,Muscatine,2014,2964742.92,57359.17
70,O'Brien,2014,1232846.98,26656.74
71,Osceola,2014,238594.03,5146.59
72,Page,2014,1135061.93,21891.84
73,Palo Alto,2014,634074.34,13262.24
74,Plymouth,2014,1572071.62,31071.25
75,Pocahontas,2014,337373.37,8073.76
76,Polk,2014,59476777.54,1034448.63
77,Pottawattamie,2014,9667883.18,175911.18
78,Poweshiek,2014,1414533.39,27009.38
79,Ringgold,2014,142328.97,3006.55
80,Sac,2014,517589.29,11509.26
81,Scott,2014,19538877.03,343795.87
82,Shelby,2014,792223.05,15668.58
83,Sioux,2014,1424805.42,28639.02
84,Story,2014,8391239.43,158045.54
85,Tama,2014,596348.78,12920.65
86,Taylor,2014,98038.53,2094.86
87,Union,2014,921609.93,18551.44
88,Van Buren,2014,179516.67,3492.52
89,Wapello,2014,2539000.33,48083.78
90,Warren,2014,2048282.52,42034.71
91,Washington,2014,1388068.73,25022.12
92,Wayne,2014,70010.95,1551.44
93,Webster,2014,2887574.26,56498.52
94,Winnebago,2014,690021.56,15174.88
95,Winneshiek,2014,1355288.84,26830.63
96,Woodbury,2014,9260145.06,169388.07
97,Worth,2014,237997.77,5173.99
98,Wright,2014,558336.27,12264.92
