,County,Date,Sale (Dollars),Volume Sold (Gallons)
0,Adair,2015,424750.82,8970.71
1,Adams,2015,100596.8,1994.06
2,Allamakee,2015,823579.28,17493.9
3,Appanoose,2015,835381.93,16251.67
4,Audubon,2015,173849.23,3924.64
5,Benton,2015,726075.75,15685.86
6,Black Hawk,2015,16064552.82,285577.56
7,Boone,2015,1751063.03,36221.04
8,Bremer,2015,1794322.78,37046.7
9,Buchanan,2015,1297984.66,26600.66
10,Buena Vista,2015,1802902.99,34332.97
11,Butler,2015,283132.74,6759.61
12,Calhoun,2015,322593.15,7421.55
13,Carroll,2015,2341824.75,45989.59
14,Cass,2015,1142073.39,22643.81
15,Cedar,2015,528595.64,11206.97
16,Cerro Gordo,2015,5751979.57,116445.68
17,Cherokee,2015,743338.94,15310.1
18,Chickasaw,2015,379533.89,8870.0
19,Clarke,2015,665423.91,12772.58
20,Clay,2015,1571856.45,33530.62
21,Clayton,2015,702285.61,14093.8
22,Clinton,2015,3401524.7,67635.61
23,Crawford,2015,1265170.37,24842.03
24,Dallas,2015,5562538.96,85584.98
25,Davis,2015,96185.96,2114.43
26,Decatur,2015,177470.88,3260.52
27,Delaware,2015,871470.79,17570.09
28,Des Moines,2015,3852786.75,67626.32
29,Dickinson,2015,3967311.85,76519.02
30,Dubuque,2015,8710159.48,162162.71
31,Emmet,2015,585747.34,12411.31
32,Fayette,2015,1124619.0,25008.8
33,Floyd,2015,1225631.24,24091.16
34,Franklin,2015,488710.08,10362.04
35,Fremont,2015,24029.55,454.61368489999995
36,Greene,2015,583474.3,11216.0
37,Grundy,2015,302289.79,6958.73
38,Guthrie,2015,295573.47,6125.77
39,Hamilton,2015,850165.6,18187.72
40,Hancock,2015,308398.74,7487.39
41,Hardin,2015,1820394.05,37941.72
42,Harrison,2015,507430.9,10184.74
43,Henry,2015,1083269.58,20742.36
44,Howard,2015,710520.03,15354.03
45,Humboldt,2015,648738.09,13854.83
46,Ida,2015,547270.83,10597.13
47,Iowa,2015,1064852.78,22613.11
48,Jackson,2015,1207416.17,25039.43
49,Jasper,2015,1671867.55,34996.07
50,Jefferson,2015,863813.42,15948.97
51,Johnson,2015,17673297.64,293651.22
52,Jones,2015,1015238.25,22195.04
53,Keokuk,2015,149560.78,3441.26
54,Kossuth,2015,1769012.89,36075.0
55,Lee,2015,3876840.25,69792.96
56,Linn,2015,24989946.22,461054.5
57,Louisa,2015,232427.95,4370.55
58,Lucas,2015,415069.06,7967.83
59,Lyon,2015,788587.32,15176.26
60,Madison,2015,766306.28,15616.53
61,Mahaska,2015,962686.79,18833.39
62,Marion,2015,1974697.44,37099.64
63,Marshall,2015,3026309.07,55067.68
64,Mills,2015,436874.08,9089.3
65,Mitchell,2015,437388.82,9852.18
66,Monona,2015,519700.46,10050.24
67,Monroe,2015,310752.35,6046.9
68,Montgomery,2015,625465.12,12433.34
69,Muscatine,2015,3023950.74,58260.69
70,O'Brien,2015,1273098.87,27003.02
71,Osceola,2015,259985.23,5399.16
72,Page,2015,1178275.96,22076.23
73,Palo Alto,2015,603797.3,12596.9
74,Plymouth,2015,1558273.49,30374.05
75,Pocahontas,2015,327370.38,7768.88
76,Polk,2015,63748122.62,1074706.27
77,Pottawattamie,2015,10056843.86,178887.81
78,Poweshiek,2015,1349652.23,25535.86
79,Ringgold,2015,138680.81,2927.11
80,Sac,2015,546378.45,11865.53
81,Scott,2015,20422368.43,349205.94
82,Shelby,2015,836308.77,16249.48
83,Sioux,2015,1502398.07,29581.11
84,Story,2015,8559325.44,159207.68
85,Tama,2015,638455.4,13592.68
86,Taylor,2015,110598.35,2227.95
87,Union,2015,968807.5,19373.91
88,Van Buren,2015,174245.69,3373.1
89,Wapello,2015,2745634.87,50614.32
90,Warren,2015,2350365.27,47088.8
91,Washington,2015,1462246.29,25807.2
92,Wayne,2015,105438.35,2113.67
93,Webster,2015,3283169.41,62333.12
94,Winnebago,2015,727026.88,15868.75
95,Winneshiek,2015,1284923.04,25824.17
96,Woodbury,2015,10115238.44,177709.61
97,Worth,2015,258916.55,5745.06
98,Wright,2015,609443.42,13095.51
