,County,Date,Sale (Dollars),Volume Sold (Gallons)
0,Adair,2016,444516.75,9185.85
1,Adams,2016,87589.49,1705.5187232999997
2,Allamakee,2016,874783.34,18458.6
3,Appanoose,2016,874227.75,16732.31
4,Audubon,2016,149960.23,3537.52
5,Benton,2016,787686.81,16822.53
6,Black Hawk,2016,16597788.07,291648.51
7,Boone,2016,1771037.83,35409.63
8,Bremer,2016,1803740.25,36478.2
9,Buchanan,2016,1318221.94,26554.73
10,Buena Vist,2016,837288.84,14257.23
11,Buena Vista,2016,1132299.13,21649.85
12,Butler,2016,306725.56,7248.96
13,Calhoun,2016,332610.75,7376.219999999999
14,Carroll,2016,2454183.7,46813.61
15,Cass,2016,964386.99,19563.620000000003
16,Cedar,2016,530618.97,10991.150000000001
17,Cerro Gord,2016,2239240.29,42601.44
18,Cerro Gordo,2016,3617023.05,72739.31
19,Cherokee,2016,730575.4,15079.94
20,Chickasaw,2016,351669.56,7877.34
21,Clarke,2016,629439.27,12051.05
22,Clay,2016,1542832.6,31814.98
23,Clayton,2016,692145.06,13849.599999999999
24,Clinton,2016,3367836.08,65270.93
25,Crawford,2016,1343656.1400000001,26305.32
26,Dallas,2016,5950648.3100000005,93335.42000000001
27,Davis,2016,103752.42,2201.7331409999997
28,Decatur,2016,166888.81,3119.4
29,Delaware,2016,981768.9199999999,19691.05
30,Des Moines,2016,3814812.63,65839.16
31,Dickinson,2016,4166258.96,78392.84
32,Dubuque,2016,8643327.620000001,157516.03
33,Emmet,2016,507570.83,10729.23
34,Fayette,2016,1331258.5899999999,29739.019999999997
35,Floyd,2016,1243442.33,24274.9
36,Franklin,2016,364422.49,7510.33
37,Fremont,2016,28026.760000000002,524.8503862
38,Greene,2016,548339.48,10694.93
39,Grundy,2016,354333.26,7847.5
40,Guthrie,2016,289602.39,5725.15
41,Hamilton,2016,853522.97,17719.14
42,Hancock,2016,336054.05,7874.63
43,Hardin,2016,1866759.81,38328.47
44,Harrison,2016,297884.98,6127.8
45,Henry,2016,1150796.6400000001,21259.05
46,Howard,2016,461298.58999999997,10152.27
47,Humboldt,2016,644993.97,13610.9
48,Ida,2016,617160.2,11894.3
49,Iowa,2016,1076691.06,21763.47
50,Jackson,2016,1263474.49,25273.079999999998
51,Jasper,2016,1629547.93,33985.33
52,Jefferson,2016,951708.4500000001,16889.22
53,Johnson,2016,17425355.41,290109.63
54,Jones,2016,946890.23,20207.58
55,Keokuk,2016,124942.79,2891.15
56,Kossuth,2016,1588307.6800000002,32083.99
57,Lee,2016,3615973.21,64146.0
58,Linn,2016,25044781.439999998,455061.19999999995
59,Louisa,2016,187124.28999999998,3549.21
60,Lucas,2016,438895.02,8520.279999999999
61,Lyon,2016,716999.76,13988.06
62,Madison,2016,814317.09,16341.210000000001
63,Mahaska,2016,976645.1100000001,19052.58
64,Marion,2016,2117785.84,39300.12
65,Marshall,2016,3134197.52,55936.509999999995
66,Mills,2016,398494.45,8026.94
67,Mitchell,2016,468619.74,10296.55
68,Monona,2016,547588.22,10382.92
69,Monroe,2016,335795.21,6475.15
70,Montgomery,2016,675611.9199999999,13025.55
71,Muscatine,2016,3047039.54,57094.770000000004
72,O'Brien,2016,767344.22,16691.98
73,Obrien,2016,502643.04,10003.41
74,Osceola,2016,249352.19,5175.280000000001
75,Page,2016,1053482.96,20214.96
76,Palo Alto,2016,622452.09,13007.369999999999
77,Plymouth,2016,1685404.57,31948.95
78,Pocahontas,2016,351880.93,8092.789999999999
79,Polk,2016,65849028.78,1089776.96
80,Pottawatta,2016,3886677.53,65260.8472847
81,Pottawattamie,2016,6161083.55,110493.76
82,Poweshiek,2016,1420084.0899999999,26772.72
83,Ringgold,2016,155237.6,3318.0699999999997
84,Sac,2016,563812.8300000001,12007.8
85,Scott,2016,20649645.24,349170.29000000004
86,Shelby,2016,542853.6,10719.19
87,Sioux,2016,1580037.83,30581.53
88,Story,2016,8885365.17,162743.62
89,Tama,2016,690144.8300000001,14233.759999999998
90,Taylor,2016,126983.64000000001,2550.7232097
91,Union,2016,1056974.67,20132.03
92,Van Buren,2016,204713.22,3830.5
93,Wapello,2016,2223595.06,42000.39
94,Warren,2016,2350388.58,45648.49
95,Washington,2016,1579903.79,28112.4
96,Wayne,2016,101186.67,2069.3217065999997
97,Webster,2016,3278531.61,61313.01
98,Winnebago,2016,767220.15,16535.15
99,Winneshiek,2016,1364180.1099999999,27116.199999999997
100,Woodbury,2016,9847904.96,169892.28
101,Worth,2016,237102.39999999997,5325.91
102,Wright,2016,627832.6799999999,13316.080000000002
