,County,Date,Sale (Dollars),Volume Sold (Gallons)
0,Adair,2012,413691.48,8796.29
1,Adams,2012,96674.89,1964.27
2,Allamakee,2012,785647.44,17362.72
3,Appanoose,2012,687274.18,14320.61
4,Audubon,2012,163577.03,3989.31
5,Benton,2012,640689.25,14409.77
6,Black Hawk,2012,15216821.8,285436.38
7,Boone,2012,1457656.61,32135.01
8,Bremer,2012,1776898.8,37875.99
9,Buchanan,2012,1306200.0,27465.76
10,Buena Vista,2012,1664076.55,33797.9
11,Butler,2012,224592.95,5549.63
12,Calhoun,2012,358617.3,8470.68
13,Carroll,2012,2398414.69,47792.59
14,Cass,2012,1156054.73,23722.99
15,Cedar,2012,435222.12,9791.62
16,Cerro Gordo,2012,5434307.18,116826.56
17,Cherokee,2012,711474.27,15601.4
18,Chickasaw,2012,384806.79,8816.55
19,Clarke,2012,505187.3,10613.72
20,Clay,2012,1427106.77,32913.92
21,Clayton,2012,508343.39,10661.28
22,Clinton,2012,3286709.16,68409.66
23,Crawford,2012,1287620.56,26905.64
24,Dallas,2012,4150888.35,67489.17
25,Davis,2012,86467.15,2131.93
26,Decatur,2012,152663.26,3015.59
27,Delaware,2012,884699.06,18219.86
28,Des Moines,2012,3116052.59,63356.36
29,Dickinson,2012,3710672.72,76999.48
30,Dubuque,2012,8007198.95,159027.55
31,Emmet,2012,657258.05,14667.91
32,Fayette,2012,1118145.7,24790.66
33,Floyd,2012,1053915.13,22826.24
34,Franklin,2012,497136.27,10808.65
35,Fremont,2012,18793.59,360.9250665
36,Greene,2012,302768.2,6371.68
37,Grundy,2012,297739.87,6693.48
38,Guthrie,2012,280873.56,5961.6
39,Hamilton,2012,796043.77,17819.08
40,Hancock,2012,256871.21,6494.13
41,Hardin,2012,1608075.82,35076.63
42,Harrison,2012,468592.74,9422.06
43,Henry,2012,951255.56,18883.78
44,Howard,2012,743955.23,15980.36
45,Humboldt,2012,634114.54,13658.49
46,Ida,2012,440210.03,9353.71
47,Iowa,2012,1817734.27,38300.3
48,Jackson,2012,1159790.05,25085.13
49,Jasper,2012,1722006.36,35924.93
50,Jefferson,2012,746559.87,14753.07
51,Johnson,2012,15031775.38,265656.97
52,Jones,2012,1218910.65,28144.56
53,Keokuk,2012,123192.69,2909.21
54,Kossuth,2012,1602397.31,34615.59
55,Lee,2012,3027583.05,60498.66
56,Linn,2012,22717019.55,443589.53
57,Louisa,2012,238508.22,5067.23
58,Lucas,2012,269408.51,5804.45
59,Lyon,2012,535959.69,10791.37
60,Madison,2012,565132.05,11951.85
61,Mahaska,2012,908041.38,18320.49
62,Marion,2012,1691516.8,34248.4
63,Marshall,2012,2712215.66,54233.55
64,Mills,2012,408227.37,9080.73
65,Mitchell,2012,433674.45,9771.34
66,Monona,2012,510447.11,10534.9
67,Monroe,2012,291650.72,6175.21
68,Montgomery,2012,568863.06,12153.85
69,Muscatine,2012,2744851.31,55734.52
70,O'Brien,2012,1314248.35,28474.56
71,Osceola,2012,219937.01,4897.84
72,Page,2012,1189220.67,23743.97
73,Palo Alto,2012,589873.63,13069.9
74,Plymouth,2012,1512916.93,31115.92
75,Pocahontas,2012,337577.83,8295.52
76,Polk,2012,55190112.1,995284.22
77,Pottawattamie,2012,9098306.49,170345.25
78,Poweshiek,2012,1260818.16,25209.1
79,Ringgold,2012,130629.48,2842.37
80,Sac,2012,555655.82,12265.75
81,Scott,2012,18456818.97,338365.86
82,Shelby,2012,709604.7,14147.3
83,Sioux,2012,1360711.22,28524.7
84,Story,2012,8029406.39,157760.34
85,Tama,2012,535153.82,11519.76
86,Taylor,2012,99613.74,2233.53
87,Union,2012,850957.33,18212.75
88,Van Buren,2012,189865.97,3823.12
89,Wapello,2012,2394581.08,48171.02
90,Warren,2012,1876943.07,38720.71
91,Washington,2012,1220746.44,23364.5
92,Wayne,2012,161736.16,3152.19
93,Webster,2012,2835896.75,58222.65
94,Winnebago,2012,628031.62,14256.09
95,Winneshiek,2012,1329013.68,27618.2
96,Woodbury,2012,8502715.94,162039.64
97,Worth,2012,166372.17,3681.32
98,Wright,2012,593361.38,13065.69
